ReT,In_v,Tar,Gas,Char,Out_T
673.15,4,0.5562,0.1214,0.3224,663.33
673.15,4.2,0.56844,0.12274,0.30882,663.084
673.15,4.4,0.58068,0.12408,0.29524,662.838
673.15,4.6,0.59292,0.12542,0.28166,662.592
673.15,4.8,0.60516,0.12676,0.26808,662.346
673.15,5,0.6174,0.1281,0.2545,662.1
673.15,5.2,0.62364,0.12808,0.2483,661.898
673.15,5.4,0.62988,0.12806,0.2421,661.696
673.15,5.6,0.63612,0.12804,0.2359,661.494
673.15,5.8,0.64236,0.12802,0.2297,661.292
673.15,6,0.6486,0.128,0.2235,661.09
673.15,6.2,0.6403,0.12548,0.2343,661.404
673.15,6.4,0.632,0.12296,0.2451,661.718
673.15,6.6,0.6237,0.12044,0.2559,662.032
673.15,6.8,0.6154,0.11792,0.2667,662.346
673.15,7,0.6071,0.1154,0.2775,662.66
683.15,4,0.56238,0.13162,0.306,673.878
683.15,4.2,0.572444,0.132408,0.295144,673.5472
683.15,4.4,0.582508,0.133196,0.284288,673.2164
683.15,4.6,0.592572,0.133984,0.273432,672.8856
683.15,4.8,0.602636,0.134772,0.262576,672.5548
683.15,5,0.6127,0.13556,0.25172,672.224
683.15,5.2,0.618,0.135048,0.246952,672.0112
683.15,5.4,0.6233,0.134536,0.242184,671.7984
683.15,5.6,0.6286,0.134024,0.237416,671.5856
683.15,5.8,0.6339,0.133512,0.232648,671.3728
683.15,6,0.6392,0.133,0.22788,671.16
683.15,6.2,0.632612,0.130732,0.236716,671.454
683.15,6.4,0.626024,0.128464,0.245552,671.748
683.15,6.6,0.619436,0.126196,0.254388,672.042
683.15,6.8,0.612848,0.123928,0.263224,672.336
683.15,7,0.60626,0.12166,0.27206,672.63
693.15,4,0.56856,0.14184,0.2896,684.426
693.15,4.2,0.576448,0.142076,0.281468,684.0104
693.15,4.4,0.584336,0.142312,0.273336,683.5948
693.15,4.6,0.592224,0.142548,0.265204,683.1792
693.15,4.8,0.600112,0.142784,0.257072,682.7636
693.15,5,0.608,0.14302,0.24894,682.348
693.15,5.2,0.61236,0.142016,0.245604,682.1244
693.15,5.4,0.61672,0.141012,0.242268,681.9008
693.15,5.6,0.62108,0.140008,0.238932,681.6772
693.15,5.8,0.62544,0.139004,0.235596,681.4536
693.15,6,0.6298,0.138,0.23226,681.23
693.15,6.2,0.624924,0.135984,0.239132,681.504
693.15,6.4,0.620048,0.133968,0.246004,681.778
693.15,6.6,0.615172,0.131952,0.252876,682.052
693.15,6.8,0.610296,0.129936,0.259748,682.326
693.15,7,0.60542,0.12792,0.26662,682.6
703.15,4,0.57474,0.15206,0.2732,694.974
703.15,4.2,0.580452,0.151744,0.267792,694.4736
703.15,4.4,0.586164,0.151428,0.262384,693.9732
703.15,4.6,0.591876,0.151112,0.256976,693.4728
703.15,4.8,0.597588,0.150796,0.251568,692.9724
703.15,5,0.6033,0.15048,0.24616,692.472
703.15,5.2,0.60672,0.148984,0.244256,692.2376
703.15,5.4,0.61014,0.147488,0.242352,692.0032
703.15,5.6,0.61356,0.145992,0.240448,691.7688
703.15,5.8,0.61698,0.144496,0.238544,691.5344
703.15,6,0.6204,0.143,0.23664,691.3
703.15,6.2,0.617236,0.141236,0.241548,691.554
703.15,6.4,0.614072,0.139472,0.246456,691.808
703.15,6.6,0.610908,0.137708,0.251364,692.062
703.15,6.8,0.607744,0.135944,0.256272,692.316
703.15,7,0.60458,0.13418,0.26118,692.57
713.15,4,0.58092,0.16228,0.2568,705.522
713.15,4.2,0.584456,0.161412,0.254116,704.9368
713.15,4.4,0.587992,0.160544,0.251432,704.3516
713.15,4.6,0.591528,0.159676,0.248748,703.7664
713.15,4.8,0.595064,0.158808,0.246064,703.1812
713.15,5,0.5986,0.15794,0.24338,702.596
713.15,5.2,0.60108,0.155952,0.242908,702.3508
713.15,5.4,0.60356,0.153964,0.242436,702.1056
713.15,5.6,0.60604,0.151976,0.241964,701.8604
713.15,5.8,0.60852,0.149988,0.241492,701.6152
713.15,6,0.611,0.148,0.24102,701.37
713.15,6.2,0.609548,0.146488,0.243964,701.604
713.15,6.4,0.608096,0.144976,0.246908,701.838
713.15,6.6,0.606644,0.143464,0.249852,702.072
713.15,6.8,0.605192,0.141952,0.252796,702.306
713.15,7,0.60374,0.14044,0.25574,702.54
723.15,4,0.5871,0.1725,0.2404,716.07
723.15,4.2,0.58846,0.17108,0.24044,715.4
723.15,4.4,0.58982,0.16966,0.24048,714.73
723.15,4.6,0.59118,0.16824,0.24052,714.06
